polygon_origin,polygon_destination,polygon_origin_name,polygon_destination_name,total,mañana_total,tarde_total,noche_total,madrugada_total,2024-11-01,2024-11-02,2024-11-03,2024-11-04,2024-11-05,2024-11-06,2024-11-07,2024-11-08,2025-06-01,2025-06-02,2025-06-03,2025-06-04,2025-06-05,2025-06-06,2025-06-07,2025-06-08
0900300010006,0900300010012,ATLÁNTIDA,SAN LUCAS,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0900300010006,0900300010032,ATLÁNTIDA,CIUDAD JARDÍN,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0900300010006,0900300010104,ATLÁNTIDA,EL ROSEDAL,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0900300010007,0900300010029,AVANTE,EL CENTINELA,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0900300010007,0900300010097,AVANTE,DE LOS REYES,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0900300010007,0900300010098,AVANTE,SAN PABLO TEPETLAPA,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0900300010008,0900300010012,LA CONCEPCIÓN,SAN LUCAS,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0900300010008,0900300010014,LA CONCEPCIÓN,SANTA CATARINA,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0900300010008,0900300010099,LA CONCEPCIÓN,DE SANTA ÚRSULA COAPA,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0900300010008,0900300010104,LA CONCEPCIÓN,EL ROSEDAL,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0900300010008,0900300010114,LA CONCEPCIÓN,VILLA COYOACÁN,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0900300010008,0901500010007,LA CONCEPCIÓN,CENTRO,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0900300010008,0901500010026,LA CONCEPCIÓN,ROMA SUR,3,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0900300010012,0900300010008,SAN LUCAS,LA CONCEPCIÓN,3,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0900300010012,0900300010054,SAN LUCAS,DEL CARMEN,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0900300010012,0900300010087,SAN LUCAS,PARQUE SAN ANDRÉS,3,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0900300010012,0901300010013,SAN LUCAS,SAN CRISTÓBAL,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
